,vote_type,proposal_id,title,voted_choice,voting_power
212,token_house,0xbdfed349a52173ccf3ddf96ecfd5e1cc23885e85b615093abd9bad16dac38885,Proposal N: Governance Fund Phase 1 - Thales,FOR,4993659.530007525
213,token_house,0xbdfed349a52173ccf3ddf96ecfd5e1cc23885e85b615093abd9bad16dac38885,Proposal N: Governance Fund Phase 1 - Thales,ABSTAIN,54510.026612563204
214,token_house,0xbf4e3b4abfc10594ab3b9895d398c7c672b9526eeaaa672df1ae281c2a580091,Season 2: Cycle 7: Abracadabra Money,AGAINST,12023081.301297626
215,token_house,0xbf4e3b4abfc10594ab3b9895d398c7c672b9526eeaaa672df1ae281c2a580091,Season 2: Cycle 7: Abracadabra Money,FOR,549095.4503352243
216,token_house,0xbf4e3b4abfc10594ab3b9895d398c7c672b9526eeaaa672df1ae281c2a580091,Season 2: Cycle 7: Abracadabra Money,ABSTAIN,30068.69497808493
217,token_house,0xc074e43c31ef6416083ef7bdad26e0b74a32063eb382b19ecfd29da397f6279b,Proposal F: Governance Phase 1 - GARD,AGAINST,17229048.79186092
218,token_house,0xc074e43c31ef6416083ef7bdad26e0b74a32063eb382b19ecfd29da397f6279b,Proposal F: Governance Phase 1 - GARD,FOR,441223.36137460585
219,token_house,0xc074e43c31ef6416083ef7bdad26e0b74a32063eb382b19ecfd29da397f6279b,Proposal F: Governance Phase 1 - GARD,ABSTAIN,60941.89986128798
220,token_house,0xc8d4c55645e133bb66f480f4f1a17307f73aedd99b0d64f796f4749ce355d7a5,Season 2: Cycle 8: Overnight,FOR,15318215.501050755
221,token_house,0xc8d4c55645e133bb66f480f4f1a17307f73aedd99b0d64f796f4749ce355d7a5,Season 2: Cycle 8: Overnight,AGAINST,96777.11945343076
222,token_house,0xc8d4c55645e133bb66f480f4f1a17307f73aedd99b0d64f796f4749ce355d7a5,Season 2: Cycle 8: Overnight,ABSTAIN,45821.42738496938
223,token_house,0xc9c0a739a29ce6477708f49a2985e4c8cb2e4ba0be1d3761541ed189a9c341e1,Season 2: Cycle 8: Angle,FOR,15037138.31196535
